TIME;GEO;GEO_LABEL;MED_AGE_MOTHER;TOT_FER_RT;NET_MIGRAT_RT;BIRTH_RT;DEATH_RT;INF_MORT_RT;GDP_HAB_INDEX;EDU_LOW;EDU_HIGH;MED_AGE_MOTHER_DIFF;TOT_FER_RT_DIFF;NET_MIGRAT_RT_DIFF;BIRTH_RT_DIFF;DEATH_RT_DIFF;INF_MORT_RT_DIFF;GDP_HAB_INDEX_DIFF;EDU_LOW_DIFF;EDU_HIGH_DIFF;MIG_CHANGE
2000;AT;Austria;29.4;1.35;2.2;9.8;9.6;4.8;134;16.7;15.9;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;Y2K
2001;AT;Austria;29.6;1.31;5.2;9.4;9.3;4.8;133;16;16.1;0.2;-0.04;3;-0.4;-0.3;0;-1;-0.7;0.2;LOWER
2002;AT;Austria;29.8;1.38;4.3;9.7;9.4;4.1;132;15.9;17.2;0.2;0.07;-0.9;0.3;0.1;-0.7;-1;-0.1;1.1;HIGHER
2003;AT;Austria;29.9;1.36;5.2;9.5;9.5;4.5;132;14.3;17.6;0.1;-0.02;0.9;-0.2;0.1;0.4;0;-1.6;0.4;HIGHER
2004;AT;Austria;29.5;1.42;6.6;9.7;9.1;4.5;132;13.5;20.9;-0.4;0.06;1.4;0.2;-0.4;0;0;-0.8;3.3;LOWER
2005;AT;Austria;29.6;1.41;6.1;9.5;9.1;4.2;132;13.9;20.7;0.1;-0.01;-0.5;-0.2;0;-0.3;0;0.4;-0.2;LOWER
2006;AT;Austria;29.7;1.41;3;9.4;9;3.6;131;13.6;21.1;0.1;0;-3.1;-0.1;-0.1;-0.6;-1;-0.3;0.4;LOWER
2007;AT;Austria;29.8;1.38;2.8;9.2;9;3.7;131;13.5;20.9;0.1;-0.03;-0.2;-0.2;0;0.1;0;-0.1;-0.2;HIGHER
2008;AT;Austria;29.7;1.42;2.9;9.3;9;3.7;135;12.8;21.9;-0.1;0.04;0.1;0.1;0;0;4;-0.7;1;LOWER
2009;AT;Austria;29.9;1.39;2.1;9.2;9.3;3.8;141;11.7;23.4;0.2;-0.03;-0.8;-0.1;0.3;0.1;6;-1.1;1.5;HIGHER
2010;AT;Austria;30;1.44;2.6;9.4;9.2;3.9;139;12.2;23.4;0.1;0.05;0.5;0.2;-0.1;0.1;-2;0.5;0;HIGHER
2011;AT;Austria;30.2;1.43;3.7;9.3;9.1;3.6;141;12.5;23.6;0.2;-0.01;1.1;-0.1;-0.1;-0.3;2;0.3;0.2;HIGHER
